Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
14,4,2015-04-30,8208,882,1,1,0,0
14,5,2015-05-01,0,0,0,1,a,0
14,6,2015-05-02,4933,512,1,0,0,0
14,7,2015-05-03,0,0,0,0,0,0
14,1,2015-05-04,8076,824,1,1,0,0
14,2,2015-05-05,5779,637,1,1,0,0
14,3,2015-05-06,6345,658,1,1,0,0
14,4,2015-05-07,6684,689,1,1,0,0
14,5,2015-05-08,6801,727,1,1,0,0
14,6,2015-05-09,3829,421,1,0,0,0
14,7,2015-05-10,0,0,0,0,0,0
14,1,2015-05-11,5219,622,1,0,0,0
14,2,2015-05-12,5518,644,1,0,0,0
14,3,2015-05-13,6234,705,1,0,0,0
14,4,2015-05-14,0,0,0,0,a,0
14,5,2015-05-15,5890,685,1,0,0,0
14,6,2015-05-16,3374,393,1,0,0,0
14,7,2015-05-17,0,0,0,0,0,0
14,1,2015-05-18,8303,842,1,1,0,0
14,2,2015-05-19,6830,701,1,1,0,0
14,3,2015-05-20,5966,640,1,1,0,0
14,4,2015-05-21,6565,682,1,1,0,0
14,5,2015-05-22,6981,748,1,1,0,0
14,6,2015-05-23,3848,442,1,0,0,0
14,7,2015-05-24,0,0,0,0,0,0
14,1,2015-05-25,0,0,0,0,a,0
14,2,2015-05-26,5775,717,1,0,0,1
14,3,2015-05-27,5283,617,1,0,0,0
14,4,2015-05-28,5206,607,1,0,0,0
14,5,2015-05-29,6392,719,1,0,0,0
14,6,2015-05-30,3672,420,1,0,0,0
14,7,2015-05-31,0,0,0,0,0,0
14,1,2015-06-01,8365,818,1,1,0,0
14,2,2015-06-02,7005,722,1,1,0,0
14,3,2015-06-03,6713,778,1,1,0,0
14,4,2015-06-04,0,0,0,1,a,0
14,5,2015-06-05,7252,787,1,1,0,0
14,6,2015-06-06,3640,440,1,0,0,0
14,7,2015-06-07,0,0,0,0,0,0
14,1,2015-06-08,6111,723,1,0,0,0
14,2,2015-06-09,5622,656,1,0,0,0
14,3,2015-06-10,4909,582,1,0,0,0
14,4,2015-06-11,5048,609,1,0,0,0
14,5,2015-06-12,5108,646,1,0,0,0
14,6,2015-06-13,3541,404,1,0,0,0
14,7,2015-06-14,0,0,0,0,0,0
14,1,2015-06-15,8077,779,1,1,0,0
14,2,2015-06-16,7071,740,1,1,0,0
14,3,2015-06-17,6108,662,1,1,0,0
14,4,2015-06-18,5918,651,1,1,0,0
14,5,2015-06-19,6239,664,1,1,0,0
14,6,2015-06-20,3472,402,1,0,0,0
14,7,2015-06-21,0,0,0,0,0,0
14,1,2015-06-22,4687,599,1,0,0,0
